instrument_id,isin,name,country,yfinance_ticker,ibkr_symbol,primary_exchange,currency,min_quantity,approved
ASML,NL0010273215,ASML Holding N.V.,NL,ASML.AS,ASML,AEB,EUR,1,true
SAP,DE0007164600,SAP SE,DE,SAP.DE,SAP,IBIS,EUR,1,true
AIR,NL0000235190,Airbus SE,NL,AIR.PA,AIR,SBF,EUR,1,true
MC,FR0000121014,LVMH Moet Hennessy Louis Vuitton,FR,MC.PA,MC,SBF,EUR,1,true
OR,FR0000120321,L'Oreal S.A.,FR,OR.PA,OR,SBF,EUR,1,true
SAN,ES0113900J37,Banco Santander S.A.,ES,SAN.MC,SAN,BM,EUR,1,true
SIE,DE0007236101,Siemens AG,DE,SIE.DE,SIE,IBIS,EUR,1,true
SU,FR0000121972,Schneider Electric SE,FR,SU.PA,SU,SBF,EUR,1,true
TTE,FR0000120271,TotalEnergies SE,FR,TTE.PA,TTE,SBF,EUR,1,true
ALV,DE0008404005,Allianz SE,DE,ALV.DE,ALV,IBIS,EUR,1,true
ENR,DE000ENER6Y0,Siemens Energy AG,DE,ENR.DE,ENR,IBIS,EUR,1,true
IBE,ES0144580Y14,Iberdrola S.A.,ES,IBE.MC,IBE,BM,EUR,1,true
SAF,FR0000073272,Safran SA,FR,SAF.PA,SAF,SBF,EUR,1,true
UCG,IT0005239360,UniCredit S.p.A.,IT,UCG.MI,UCG,BVME,EUR,1,true
